location,date,grocery,parks,residential,retail_rec,transit,workplace,GPL_CD,GSS_CD,GSS_NM,GSS_ENTITY_CD,GSS_ENTITY_NM,REGION_CD,REGION_NM,AREALHECT,ALL_AGES,pop_under_10,pop_10_19,pop_20_29,pop_30_39,pop_40_49,pop_50_59,pop_60_69,pop_70_79,pop_80_89,pop_over_90,pop_over_70,pop_under_30,CTY18NM.x,county_gdp_pc,county_gdp_pc_growth,Area_Name,la_gdp_pc,la_gdp_pc_growth,final_gdp_cap,final_gdp_pc_growth,CTY18NM.y,county_remain,county_pop,Area,la_remain,final_remain,log_population,log_area,density,income_quint
Northumberland,2020-03-04,6.434,27.331,-0.19,7.313,-1.382,-0.253,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-05,8.546,44.324,0.157,7.496,7.672,0.085,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-06,7.406,37.875,-0.183,4.892,3.449,0.176,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-07,6.891,21.336,0.165,4.46,2.893,4.761,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-08,6.461,27.346,-0.727,7.982,3.946,3.725,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-09,6.829,32.714,0.307,5.463,6.286,-0.518,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-10,6.921,17.476,0.959,3.346,-3.2,-0.925,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-11,4.611,10.933,1.119,1.017,-3.154,-0.422,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-12,11.16,19.767,1.559,2.525,-2.145,-1.098,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-13,13.253,33.505,1.133,1.692,-3.376,-1.847,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-14,13.058,29.729,1.101,3.646,0.445,3.463,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-15,19.998,33.464,0.39,4.015,0.036,-2.005,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-16,29.377,64.169,1.832,7.077,-0.331,-4.49,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-17,30.135,36.156,4.985,-3.347,-11.472,-9.249,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
Northumberland,2020-03-18,28.068,25.691,6.962,-7.229,-15.209,-15.115,GGL098,E06000057,Northumberland,E06,Unitary Authority,E12000001,North East,501833.91,320274,9.955538070527112,10.341145394256168,9.662976076734296,10.836346378413483,11.989421557791141,15.628805335431537,14.37175668333989,11.107364319301597,5.061603502001411,1.0450426822033634,17.21401050350637,29.959659541517574,NA,NA,NA,Northumberland,18978,-2.9,18978,-2.9,NA,NA,NA,Northumberland,45.89,45.89,12.676932158403002,13.12602448735505,0.6382071709741576,1st Quintile
